

gen best mean std
0 88.416393 10.752404 28.891349
1 91.772379 22.255539 33.939083
2 91.772379 38.129362 34.205023
3 91.772379 47.568599 31.14983
4 91.772379 55.570144 31.285974
5 91.772379 61.065284 30.173382
6 91.772379 63.79823 29.397575
7 91.772379 68.328738 27.828538
8 91.772379 70.176593 25.994467
9 91.772379 67.151909 29.242382
10 91.772379 73.781209 24.041333
11 92.090612 73.117755 24.470848
12 92.090612 70.027674 27.956693
13 92.090612 70.747834 26.681434
14 92.73194 73.518072 26.544011
15 92.73194 75.352749 24.649762
16 92.73194 77.665757 24.024985
17 92.73194 75.87022 23.944407
18 92.73194 79.050158 21.162479
19 92.73194 74.645075 26.130755
20 92.73194 76.914885 23.580552
21 92.73194 77.810946 22.828394
22 92.73194 75.028259 26.637035
23 92.73194 76.375749 24.629029
24 92.73194 75.61273 25.466201
25 92.73194 77.648708 22.681237
26 92.73194 75.827607 26.191023
27 92.73194 79.290044 20.743422
28 92.73194 77.545096 23.79755
doomsday
29 92.73194 70.339418 37.070061
