

gen best mean std
0 21.319827 0.442283 10.558386
1 91.772379 17.39548 38.049302
2 91.84704 53.019434 41.065679
3 91.84704 75.191137 26.081977
4 91.84704 86.592013 15.566002
5 92.127 91.850769 0.13987
6 92.127 91.235916 1.875728
7 92.327 91.255916 1.88616
8 92.927 92.012179 0.461115
9 92.927 91.366918 1.486957
10 92.927 91.653669 1.041647
11 93.127 92.385203 0.702812
12 93.127 85.291365 21.124246
13 93.127 92.117178 0.597858
14 93.127 90.774884 2.825783
15 93.127 85.414535 18.519626
16 93.127 91.151893 2.137683
17 93.127 90.401578 2.583125
18 93.127 77.650093 23.871139
19 93.127 81.711839 20.039035
20 93.127 85.994854 18.611921
21 93.127 85.483535 18.544732
22 93.127 89.645698 2.984545
23 93.127 85.41618 15.508351
24 93.127 89.695211 2.976575
25 93.127 83.950371 18.149989
doomsday
26 93.127 81.968493 18.909031
27 93.127 87.062351 7.633659
28 93.127 87.770027 7.828517
29 93.127 85.507373 18.401211
