

gen best mean std
0 30.203942 1.30889 14.450979
1 30.203942 1.500583 14.352806
2 30.203942 1.563148 14.321503
3 91.772379 32.412217 40.518453
4 91.772379 70.303599 29.240044
5 91.772379 78.264796 22.339754
6 92.500134 91.961862 0.304429
7 92.500134 85.423685 18.441101
8 92.500134 91.58718 1.346955
9 92.500134 88.619864 7.670879
10 92.500134 90.918895 1.847404
11 92.53704 91.782127 0.92522
12 92.53704 81.979861 20.111637
13 92.53704 66.412395 29.605264
14 92.53704 71.393399 27.40627
15 92.53704 77.473776 24.141887
16 92.53704 89.86393 5.055945
17 92.53704 91.885761 0.336823
18 92.53704 90.344933 5.058569
19 92.53704 90.268467 5.030557
20 92.53704 80.511624 22.993991
21 92.53704 77.88809 28.628356
22 92.53704 90.344933 5.058569
23 92.53704 90.284933 5.035719
24 92.53704 86.821399 15.876578
25 92.53704 86.704933 15.836518
doomsday
26 92.53704 85.623888 18.485706
27 92.53704 70.641648 28.654145
28 92.58272 83.216192 19.270639
29 92.58272 83.324692 19.320343
