

gen best mean std
0 92.776119 14.312252 35.28125
1 92.776119 22.464547 35.566029
2 92.776119 67.675259 28.48962
3 92.776119 63.228504 29.89536
4 92.776119 71.508036 25.506272
5 92.776119 71.777254 23.593346
6 92.776119 73.387832 23.968734
7 92.776119 73.623096 23.17124
8 92.776119 78.912417 20.28898
9 92.776119 84.892099 11.133895
10 93.527 81.990926 15.639961
11 93.527 82.890675 15.656871
12 93.527 77.011086 24.333904
13 93.527 78.565734 21.167261
14 93.527 82.465249 18.509619
15 93.527 69.423812 28.301015
16 93.527 74.129183 23.871383
17 93.527 79.332238 21.581827
18 93.527 82.103455 19.030648
19 93.527 82.224716 19.442506
20 93.527 86.909086 14.328044
21 93.527 87.252082 12.744162
22 93.527 87.831302 11.184257
23 93.527 88.296535 12.259807
24 93.527 82.334808 20.990258
doomsday
25 93.527 75.678482 33.911814
26 93.527 87.29065 15.338891
27 93.527 85.965403 17.548676
28 93.527 88.881408 11.415491
29 93.690612 81.502804 22.705426

gen best mean std
29 93.690612 81.502804 22.705426
