

gen best mean std
0 12.963047 -3.83517 5.604257
1 90.123536 5.924242 28.600733
2 90.123536 22.763427 36.390431
3 90.123536 45.90109 37.109405
4 90.123536 60.724178 30.080498
5 90.123536 72.468443 27.202189
6 92.531096 78.777382 19.526525
7 92.531096 82.135766 18.550826
8 92.531096 77.781305 23.821993
9 92.531096 70.945841 28.622888
10 92.776119 77.227561 25.739841
11 92.776119 78.019715 23.778481
12 92.776119 76.30638 27.541594
13 92.776119 73.797246 27.249647
14 92.776119 83.083057 23.475043
15 92.776119 77.385622 28.218407
16 92.776119 80.411654 22.724092
17 92.776119 73.949375 26.834955
18 92.776119 85.063695 18.382931
19 92.776119 85.493003 18.490961
20 92.776119 78.83516 22.574318
21 92.776119 83.168117 19.201612
22 92.776119 77.908912 22.941039
23 92.776119 81.525319 17.399214
24 92.776119 83.847716 16.496488
doomsday
25 92.776119 80.405402 29.145233
26 92.776119 76.843414 26.111727
27 92.776119 68.936301 31.675953
28 92.776119 80.118286 23.460297
29 92.776119 80.603723 20.802269

gen best mean std
29 92.776119 80.603723 20.802269
