

gen best mean std
0 91.196054 14.288781 37.685104
1 91.196054 33.363849 45.885425
2 91.196054 64.604364 33.912096
3 91.196054 82.020498 20.254306
4 91.196054 82.367403 20.378401
5 91.196054 88.986988 1.836689
6 91.196054 72.836505 29.430322
7 92.379644 78.127808 23.886909
8 92.379644 84.525301 15.14569
9 92.379644 61.521478 36.213667
10 92.379644 83.263954 17.790687
11 92.379644 88.545994 1.643743
12 92.500134 85.990082 9.711489
13 92.500134 82.908253 17.666309
14 92.500134 83.392977 17.855329
15 92.500134 90.099909 2.373223
16 92.500134 86.230925 12.598216
17 92.500134 81.31321 16.316058
18 92.500134 89.829031 2.752836
19 92.518596 87.670612 7.713428
20 92.518596 78.335618 24.346856
21 92.518596 88.365328 5.280053
22 92.518596 83.044509 18.045991
23 92.576119 84.014333 18.398435
24 92.576119 82.439071 17.560917
25 92.576119 83.168117 17.803958
26 92.576119 85.123429 15.49783
27 92.927 89.397948 2.833456
28 92.927 89.827967 2.637906
29 92.927 84.702813 18.32262
