

gen best mean std
0 92.347727 8.281226 28.424396
1 92.347727 28.916781 36.829229
2 92.58272 44.584408 36.114408
3 92.58272 59.60784 30.048462
4 92.58272 64.96148 28.754591
5 92.58272 68.026723 27.902543
6 92.58272 68.397438 28.485102
7 92.58272 70.046202 26.428598
8 92.58272 72.669129 24.699293
9 92.58272 73.126539 26.160433
10 92.58272 69.093697 28.011171
11 92.58272 71.618513 26.561418
12 92.58272 74.614489 24.896313
13 92.58272 75.44729 24.223112
14 92.58272 75.483272 24.024111
15 92.58272 74.915514 26.640243
16 92.58272 77.677035 22.430123
doomsday
17 92.58272 71.391788 36.266513
18 92.58272 80.517073 22.527915
19 92.58272 76.718468 27.519433
20 92.58272 76.541679 26.635094
21 92.862462 78.442062 23.890457
22 92.862462 75.698351 25.724157
23 92.862462 73.801603 27.020905
24 92.862462 73.42484 27.349906
25 92.862462 76.834102 23.525224
26 92.862462 78.452792 21.317161
27 92.862462 79.947842 20.871235
28 92.862462 78.712949 23.018715
29 92.862462 76.15566 25.162992
